1.112298192 10.0.0.4:5001 10.0.0.2:45172 32 0xd5da0694 0xd5da0694 10 2147483647 29696 332000 28960
1.118904607 10.0.0.3:5001 10.0.0.1:45462 32 0xbcd8525 0xbcd8525 10 2147483647 29696 340000 28960
1.443602594 10.0.0.4:5001 10.0.0.2:45176 56 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 28960
1.444204639 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 29184
1.447869947 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 34816
1.463191058 10.0.0.3:5001 10.0.0.1:45466 56 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 28960
1.463205258 10.0.0.3:5001 10.0.0.1:45466 1480 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 29184
1.463679960 10.0.0.3:5001 10.0.0.1:45466 1480 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 32256
1.467193856 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 40960
1.475060925 10.0.0.3:5001 10.0.0.1:45466 2928 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 34816
1.484335679 10.0.0.4:5001 10.0.0.2:45176 2928 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 46592
1.490301297 10.0.0.3:5001 10.0.0.1:45466 2928 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 40960
1.499076031 10.0.0.4:5001 10.0.0.2:45176 1480 0xbdfec982 0xbdfec982 10 2147483647 29696 332000 52224
1.515709138 10.0.0.3:5001 10.0.0.1:45466 2928 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 46592
1.521483877 10.0.0.3:5001 10.0.0.1:45466 1480 0xb58d3439 0xb58d3439 10 2147483647 29696 344000 52224
1.606682633 10.0.0.2:45176 10.0.0.4:5001 32 0xa3925597 0xa3922297 10 2147483647 28960 336361 29696
1.606713452 10.0.0.2:45176 10.0.0.4:5001 32 0xa39260e7 0xa39222af 11 2147483647 29184 334986 29696
