0.784482407 10.0.0.4:5001 10.0.0.2:45154 32 0x3d0ffc57 0x3d0ffc57 10 2147483647 29696 176000 28960
0.792064978 10.0.0.3:5001 10.0.0.1:45444 32 0x39821728 0x39821728 10 2147483647 29696 172000 28960
0.954709396 10.0.0.4:5001 10.0.0.2:45158 56 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 28960
0.954719575 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 29184
0.959214619 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 34816
0.966271911 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 40960
0.973965285 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 46592
0.982110896 10.0.0.3:5001 10.0.0.1:45448 56 0x433bda79 0x433bda79 10 2147483647 29696 188000 28960
0.982123153 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 29184
0.990385702 10.0.0.4:5001 10.0.0.2:45158 1480 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 52224
0.993588645 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 34816
1.002175168 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 40960
1.009835626 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 46592
1.016884581 10.0.0.3:5001 10.0.0.1:45448 1480 0x433bda79 0x433bda79 10 2147483647 29696 188000 52224
1.036431108 10.0.0.2:45158 10.0.0.4:5001 32 0xf00733d1 0xf00700d1 10 2147483647 28960 177086 29696
1.036460553 10.0.0.2:45158 10.0.0.4:5001 32 0xf0073f21 0xf00700e9 11 2147483647 29184 175330 29696
1.040274487 10.0.0.2:45158 10.0.0.4:5001 32 0xf00755c1 0xf0070c39 13 2147483647 34816 173793 29696
1.047395096 10.0.0.2:45158 10.0.0.4:5001 32 0xf00766b9 0xf0071789 15 2147483647 40960 172925 29696
1.055075422 10.0.0.2:45158 10.0.0.4:5001 32 0xf0077d59 0xf00722d9 17 2147483647 46592 173054 29696
1.063797672 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b0a100 0xa7b06e00 10 2147483647 28960 171272 29696
1.063834843 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b0ac50 0xa7b06e18 11 2147483647 29184 172891 29696
1.071479339 10.0.0.2:45158 10.0.0.4:5001 32 0xf00793f9 0xf0072e29 19 2147483647 52224 174002 29696
1.074647544 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b0c2f0 0xa7b07968 13 2147483647 34816 174306 29696
1.083219703 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b0d3e8 0xa7b084b8 15 2147483647 40960 176896 29696
1.090933236 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b0ea88 0xa7b09008 17 2147483647 46592 180234 29696
1.097940215 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b10128 0xa7b09b58 19 2147483647 52224 183994 29696
1.118274963 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 55296
1.121930404 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 60928
1.129663812 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 67072
1.137289904 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 72704
1.144990851 10.0.0.4:5001 10.0.0.2:45158 1480 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 78336
1.148844026 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 81408
1.156548898 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 87040
1.164228978 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 92672
1.171966109 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 98816
1.179763250 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 55296
1.187291453 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 60928
1.194979683 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 67072
1.199375821 10.0.0.2:45158 10.0.0.4:5001 32 0xf007a4f1 0xf00733d1 20 2147483647 55296 176540 29696
1.202665572 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 104448
1.202987658 10.0.0.2:45158 10.0.0.4:5001 32 0xf007bb91 0xf0073f21 22 2147483647 60928 174841 29696
1.210355499 10.0.0.4:5001 10.0.0.2:45158 1480 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 110080
1.210708529 10.0.0.2:45158 10.0.0.4:5001 32 0xf007d231 0xf0074a71 24 2147483647 67072 173802 29696
1.214249277 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 72704
1.218388295 10.0.0.2:45158 10.0.0.4:5001 32 0xf007e329 0xf00755c1 26 2147483647 72704 173858 29696
1.221898541 10.0.0.3:5001 10.0.0.1:45448 1480 0x433bda79 0x433bda79 10 2147483647 29696 188000 78336
1.225745076 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 81408
1.226051342 10.0.0.2:45158 10.0.0.4:5001 32 0xf007f9c9 0xf0076111 28 2147483647 78336 174390 29696
1.229905623 10.0.0.2:45158 10.0.0.4:5001 32 0xf0080519 0xf00766b9 29 2147483647 81408 175812 29696
1.233447380 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 87040
1.238330152 10.0.0.2:45158 10.0.0.4:5001 32 0xf0081bb9 0xf0077209 31 2147483647 87040 176649 29696
1.241132550 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 92672
1.246190701 10.0.0.2:45158 10.0.0.4:5001 32 0xf0083259 0xf0077d59 33 2147483647 92672 178434 29696
1.248816810 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 98816
1.253965030 10.0.0.2:45158 10.0.0.4:5001 32 0xf00848f9 0xf00788a9 35 2147483647 98816 180019 29696
1.256491771 10.0.0.3:5001 10.0.0.1:45448 2928 0x433bda79 0x433bda79 10 2147483647 29696 188000 104448
1.260859895 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b11220 0xa7b0a100 20 2147483647 55296 187906 29696
1.264232275 10.0.0.3:5001 10.0.0.1:45448 1480 0x433bda79 0x433bda79 10 2147483647 29696 188000 110080
1.268537628 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b128c0 0xa7b0ac50 22 2147483647 60928 189051 29696
1.276378537 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b13f60 0xa7b0b7a0 24 2147483647 67072 191009 29696
1.281293934 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 113152
1.284195911 10.0.0.2:45158 10.0.0.4:5001 32 0xf0085f99 0xf00793f9 37 2147483647 104448 182377 29696
1.284923036 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 118784
1.292037188 10.0.0.2:45158 10.0.0.4:5001 32 0xf0087639 0xf0079f49 39 2147483647 110080 186170 29696
1.292612479 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 124928
1.295925583 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b15058 0xa7b0c2f0 26 2147483647 72704 193702 29696
1.300318607 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 130560
1.302971042 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b166f8 0xa7b0ce40 28 2147483647 78336 197149 29696
1.306820724 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b17248 0xa7b0d3e8 29 2147483647 81408 201045 29696
1.308002978 10.0.0.4:5001 10.0.0.2:45158 1480 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 136192
1.311865193 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 139264
1.314557849 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b188e8 0xa7b0df38 31 2147483647 87040 203864 29696
1.319544091 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 144896
1.322256467 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b19f88 0xa7b0ea88 33 2147483647 92672 207296 29696
