1.112663011 10.0.0.3:5001 10.0.0.1:43604 32 0xcb144b66 0xcb144b66 10 2147483647 29696 336000 28960
1.121815476 10.0.0.4:5001 10.0.0.2:43318 32 0x4abba314 0x4abba314 10 2147483647 29696 336000 28960
1.446714287 10.0.0.3:5001 10.0.0.1:43608 56 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 28960
1.446858100 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 29184
1.447152138 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 32256
1.450646358 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 34816
1.458323844 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 40960
1.466240420 10.0.0.4:5001 10.0.0.2:43322 56 0x937c160b 0x937c160b 10 2147483647 29696 344000 28960
1.466524677 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 29184
1.470272819 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 32256
1.474775488 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 34816
1.481926055 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 46592
1.489987186 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 40960
1.497195898 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 52224
1.501680471 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 46592
1.508928811 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 52224
1.609653654 10.0.0.1:43608 10.0.0.3:5001 32 0xa86d9d82 0xa86d6a82 10 2147483647 28960 337858 29696
1.609691458 10.0.0.1:43608 10.0.0.3:5001 32 0xa86da8d2 0xa86d6a9a 11 2147483647 29184 336365 29696
1.609701949 10.0.0.1:43608 10.0.0.3:5001 32 0xa86db422 0xa86d7042 12 2147483647 32256 335060 29696
1.612719895 10.0.0.1:43608 10.0.0.3:5001 32 0xa86dbf72 0xa86d75ea 13 2147483647 34816 333920 29696
1.620381750 10.0.0.1:43608 10.0.0.3:5001 32 0xa86dd06a 0xa86d813a 15 2147483647 40960 333299 29696
1.628726450 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a17c4d 0xb2a1494d 10 2147483647 28960 334406 29696
1.628793923 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a1879d 0xb2a14965 11 2147483647 29184 335319 29696
1.632318136 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a192ed 0xb2a14f0d 12 2147483647 32256 336123 29696
1.636830478 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a19e3d 0xb2a154b5 13 2147483647 34816 337267 29696
1.644023030 10.0.0.1:43608 10.0.0.3:5001 32 0xa86de70a 0xa86d8c8a 17 2147483647 46592 333711 29696
1.652393311 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a1af35 0xb2a16005 15 2147483647 40960 338832 29696
1.659282792 10.0.0.1:43608 10.0.0.3:5001 32 0xa86dfdaa 0xa86d97da 19 2147483647 52224 336905 29696
1.663724362 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a1c5d5 0xb2a16b55 17 2147483647 46592 342146 29696
1.670983395 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a1dc75 0xb2a176a5 19 2147483647 52224 346335 29696
1.772475070 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 55296
1.776119356 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 60928
1.783825888 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 67072
1.791507565 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 72704
1.799184232 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 78336
1.803041573 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 81408
1.810778976 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 87040
1.818404932 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 55296
1.826108201 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 60928
1.834012929 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 67072
1.841837121 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 72704
1.849188710 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 78336
1.853044894 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 92672
1.860726675 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 98816
1.868388321 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 81408
1.876083048 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 87040
1.883764028 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 104448
1.891538112 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 110080
1.896400512 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 92672
1.903012397 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 98816
1.910749920 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 104448
1.918394003 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 110080
1.935407015 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e0ea2 0xa86d9d82 20 2147483647 55296 341335 29696
1.938351327 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e2542 0xa86da8d2 22 2147483647 60928 339388 29696
1.945933029 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e3be2 0xa86db422 24 2147483647 67072 338049 29696
1.953974941 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e4cda 0xa86dbf72 26 2147483647 72704 337824 29696
1.961407507 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e637a 0xa86dcac2 28 2147483647 78336 338254 29696
1.965115616 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e6eca 0xa86dd06a 29 2147483647 81408 339559 29696
1.972862581 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e856a 0xa86ddbba 31 2147483647 87040 340206 29696
1.980488959 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a1ed6d 0xb2a17c4d 20 2147483647 55296 350634 29696
1.988221261 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2040d 0xb2a1879d 22 2147483647 60928 350777 29696
1.996929116 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a21aad 0xb2a192ed 24 2147483647 67072 351860 29696
2.004713808 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a22ba5 0xb2a19e3d 26 2147483647 72704 353455 29696
2.011290588 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a24245 0xb2a1a98d 28 2147483647 78336 355259 29696
2.015146109 10.0.0.1:43608 10.0.0.3:5001 32 0xa86e9c0a 0xa86de70a 33 2147483647 92672 341741 29696
2.022884382 10.0.0.1:43608 10.0.0.3:5001 32 0xa86eb2aa 0xa86df25a 35 2147483647 98816 345414 29696
2.030455139 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a24d95 0xb2a1af35 29 2147483647 81408 357660 29696
2.038144143 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a26435 0xb2a1ba85 31 2147483647 87040 360211 29696
2.046693497 10.0.0.1:43608 10.0.0.3:5001 32 0xa86ec94a 0xa86dfdaa 37 2147483647 104448 349594 29696
2.053597904 10.0.0.1:43608 10.0.0.3:5001 32 0xa86edfea 0xa86e08fa 39 2147483647 110080 354322 29696
2.058448547 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a27ad5 0xb2a1c5d5 33 2147483647 92672 363403 29696
2.065225755 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a29175 0xb2a1d125 35 2147483647 98816 367318 29696
2.073067507 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2a815 0xb2a1dc75 37 2147483647 104448 371592 29696
2.080846163 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2beb5 0xb2a1e7c5 38 37 110080 375405 29696
2.097541107 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 113152
2.101170809 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 118784
2.108862394 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 124928
2.116555134 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 130560
2.124441991 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 136192
2.129308908 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 139264
2.136531019 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 144896
2.143477786 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 151040
2.151233309 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 156672
2.159005424 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 162304
2.166820024 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 168448
2.174230693 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.181933679 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.189605754 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 113152
2.197999770 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 118784
2.205444634 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 124928
2.212684188 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 130560
2.220471037 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 136192
2.225398193 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 139264
2.233168625 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 144896
2.239598827 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 151040
2.247748473 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 156672
2.255188234 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.260425498 10.0.0.1:43608 10.0.0.3:5001 32 0xa86ef0e2 0xa86e0ea2 40 2147483647 113152 359321 29696
2.263404149 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f0782 0xa86e19f2 42 2147483647 118784 355034 29696
2.263485041 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.271188921 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f1e22 0xa86e2542 44 2147483647 124928 351654 29696
2.271237854 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.278644891 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f34c2 0xa86e3092 46 2147483647 130560 349302 29696
2.278707571 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.286798828 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f4b62 0xa86e3be2 48 2147483647 136192 348173 29696
2.286831301 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 162304
2.291675947 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f56b2 0xa86e418a 49 2147483647 139264 347260 29696
2.294430818 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 168448
2.299106961 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f6d52 0xa86e4cda 51 2147483647 144896 347071 29696
2.302023276 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.305922083 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f83f2 0xa86e582a 53 2147483647 151040 346829 29696
2.309244586 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.313307487 10.0.0.1:43608 10.0.0.3:5001 32 0xa86f9a92 0xa86e637a 55 2147483647 156672 347468 29696
2.317113951 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.321103074 10.0.0.1:43608 10.0.0.3:5001 32 0xa86fb132 0xa86e6eca 57 2147483647 162304 348022 29696
2.324840004 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.328941269 10.0.0.1:43608 10.0.0.3:5001 32 0xa86fc7d2 0xa86e7a1a 59 2147483647 168448 349019 29696
2.332712698 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.336586607 10.0.0.1:43608 10.0.0.3:5001 32 0xa86fde72 0xa86e856a 61 2147483647 170496 350871 29696
2.339598997 10.0.0.3:5001 10.0.0.1:43608 1480 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.343457359 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.344070060 10.0.0.1:43608 10.0.0.3:5001 32 0xa86ff512 0xa86e90ba 63 2147483647 170496 352480 29696
2.351232817 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.351656676 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2c45d 0xb2a1ed6d 38 37 113152 379713 29696
2.359040067 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.360068554 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2cfad 0xb2a1f8bd 38 37 118784 378645 29696
2.366840055 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.367500735 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2dafd 0xb2a2040d 38 37 124928 378762 29696
2.374601377 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.374748578 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2e64d 0xb2a20f5d 38 37 130560 378827 29696
2.382485256 10.0.0.4:5001 10.0.0.2:43322 2928 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.382575334 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2f19d 0xb2a21aad 38 37 136192 379789 29696
2.387452781 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a2f745 0xb2a22055 38 37 139264 380522 29696
2.389567679 10.0.0.4:5001 10.0.0.2:43322 1480 0x937c160b 0x937c160b 10 2147483647 29696 344000 170496
2.395245675 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a30295 0xb2a22ba5 38 37 144896 381772 29696
2.401937436 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a30de5 0xb2a236f5 38 37 151040 382869 29696
2.409861272 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a31935 0xb2a24245 38 37 156672 384664 29696
2.417555210 10.0.0.1:43608 10.0.0.3:5001 32 0xa8700bb2 0xa86e9c0a 65 2147483647 170496 354821 29696
2.422502922 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.425544956 10.0.0.1:43608 10.0.0.3:5001 32 0xa8702252 0xa86ea75a 67 2147483647 170496 360771 29696
2.426146338 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.433295742 10.0.0.1:43608 10.0.0.3:5001 32 0xa87038f2 0xa86eb2aa 69 2147483647 170496 366974 29696
2.433845624 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.440761597 10.0.0.1:43608 10.0.0.3:5001 32 0xa8704f92 0xa86ebdfa 71 2147483647 170496 372404 29696
2.441554653 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.448873332 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a32485 0xb2a24d95 38 37 162304 386403 29696
2.449217257 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.456635285 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a32fd5 0xb2a258e5 39 37 168448 390406 29696
2.456937131 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.464121398 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a33b25 0xb2a26435 39 37 170496 394877 29696
2.464594496 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.471301214 10.0.0.2:43322 10.0.0.4:5001 32 0xb2a34675 0xb2a26f85 39 37 170496 398767 29696
2.472298588 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.479653756 10.0.0.1:43608 10.0.0.3:5001 32 0xa8706632 0xa86ec94a 73 2147483647 170496 378087 29696
2.479950488 10.0.0.3:5001 10.0.0.1:43608 2928 0xae46ca10 0xae46ca10 10 2147483647 29696 332000 170496
2.486939866 10.0.0.1:43608 10.0.0.3:5001 32 0xa8707cd2 0xa86ed49a 75 2147483647 170496 384948 29696
