0.410181196 10.0.0.4:5001 10.0.0.2:40466 32 0xd201228b 0xd201228b 10 2147483647 29696 56000 28960
0.465074709 10.0.0.4:5001 10.0.0.2:40468 56 0x61752024 0x61752024 10 2147483647 29696 48000 28960
0.465116970 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 29184
0.469555594 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 34816
0.477283510 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 40960
0.485191973 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 46592
0.486716616 10.0.0.2:40468 10.0.0.4:5001 32 0x57198b8f 0x5719588f 10 2147483647 28960 61373 29696
0.486763550 10.0.0.2:40468 10.0.0.4:5001 32 0x571996df 0x571958a7 11 2147483647 29184 59091 29696
0.490672438 10.0.0.2:40468 10.0.0.4:5001 32 0x5719ad7f 0x571963f7 13 2147483647 34816 57096 29696
0.492182380 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 52224
0.498393320 10.0.0.2:40468 10.0.0.4:5001 32 0x5719be77 0x57196f47 15 2147483647 40960 55841 29696
0.506278566 10.0.0.2:40468 10.0.0.4:5001 32 0x5719d517 0x57197a97 17 2147483647 46592 55707 29696
0.507796352 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 55296
0.511702572 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 60928
0.513232920 10.0.0.2:40468 10.0.0.4:5001 32 0x5719ebb7 0x571985e7 19 2147483647 52224 56436 29696
0.519415825 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 67072
0.526988051 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 72704
0.528840410 10.0.0.2:40468 10.0.0.4:5001 32 0x5719fcaf 0x57198b8f 20 2147483647 55296 57702 29696
0.532973058 10.0.0.2:40468 10.0.0.4:5001 32 0x571a134f 0x571996df 22 2147483647 60928 55754 29696
0.534501715 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 78336
0.538966592 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 81408
0.540525067 10.0.0.2:40468 10.0.0.4:5001 32 0x571a29ef 0x5719a22f 24 2147483647 67072 54562 29696
0.546150098 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 87040
0.548390237 10.0.0.2:40468 10.0.0.4:5001 32 0x571a408f 0x5719ad7f 26 2147483647 72704 54460 29696
0.554069706 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 92672
0.555626546 10.0.0.2:40468 10.0.0.4:5001 32 0x571a572f 0x5719b8cf 28 2147483647 78336 54865 29696
0.560481332 10.0.0.2:40468 10.0.0.4:5001 32 0x571a627f 0x5719be77 29 2147483647 81408 56124 29696
0.561443307 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 98816
0.567266988 10.0.0.2:40468 10.0.0.4:5001 32 0x571a7377 0x5719c9c7 31 2147483647 87040 56868 29696
0.570198382 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 104448
0.575128060 10.0.0.2:40468 10.0.0.4:5001 32 0x571a8a17 0x5719d517 33 2147483647 92672 58366 29696
0.576837714 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 110080
