0.865040442 10.0.0.4:5001 10.0.0.2:43298 32 0x67b754d8 0x67b754d8 10 2147483647 29696 172000 28960
0.875229700 10.0.0.3:5001 10.0.0.1:43588 32 0xf7f86b0c 0xf7f86b0c 10 2147483647 29696 184000 28960
1.040767126 10.0.0.4:5001 10.0.0.2:43302 56 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 28960
1.040905439 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 29184
1.041358322 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 32256
1.045114899 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 34816
1.049211442 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 37888
1.053091976 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 40960
1.056941499 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 43520
1.060259479 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 46592
1.068424623 10.0.0.3:5001 10.0.0.1:43592 56 0x21594624 0x21594624 10 2147483647 29696 192000 28960
1.068436421 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 29184
1.072187221 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 32256
1.076575525 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 34816
1.080413144 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 37888
1.084291466 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 52224
1.087596132 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 40960
1.095268204 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 46592
1.102944072 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 52224
1.122533167 10.0.0.2:43302 10.0.0.4:5001 32 0x80fd8758 0x80fd5458 10 2147483647 28960 185169 29696
1.122581369 10.0.0.2:43302 10.0.0.4:5001 32 0x80fd92a8 0x80fd5470 11 2147483647 29184 182475 29696
1.122864717 10.0.0.2:43302 10.0.0.4:5001 32 0x80fd9df8 0x80fd5a18 12 2147483647 32256 180118 29696
1.126196594 10.0.0.2:43302 10.0.0.4:5001 32 0x80fda948 0x80fd5fc0 13 2147483647 34816 178092 29696
1.130290824 10.0.0.2:43302 10.0.0.4:5001 32 0x80fdb498 0x80fd6568 14 2147483647 37888 176735 29696
1.134154834 10.0.0.2:43302 10.0.0.4:5001 32 0x80fdba40 0x80fd6b10 15 2147483647 40960 176058 29696
1.138011572 10.0.0.2:43302 10.0.0.4:5001 32 0x80fdc590 0x80fd70b8 16 2147483647 43520 175944 29696
1.141979943 10.0.0.2:43302 10.0.0.4:5001 32 0x80fdd0e0 0x80fd7660 17 2147483647 46592 176326 29696
1.149922856 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d3b0a 0xec4d080a 10 2147483647 28960 180192 29696
1.149959802 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d465a 0xec4d0822 11 2147483647 29184 180879 29696
1.153255213 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d51aa 0xec4d0dca 12 2147483647 32256 181480 29696
1.157666198 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d5cfa 0xec4d1372 13 2147483647 34816 182419 29696
1.161497898 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d684a 0xec4d191a 14 2147483647 37888 183790 29696
1.165410219 10.0.0.2:43302 10.0.0.4:5001 32 0x80fde780 0x80fd81b0 19 2147483647 52224 177028 29696
1.169190929 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d6df2 0xec4d1ec2 15 2147483647 40960 185469 29696
1.176337638 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d8492 0xec4d2a12 17 2147483647 46592 187899 29696
1.183989336 10.0.0.1:43592 10.0.0.3:5001 32 0xec4d9b32 0xec4d3562 19 2147483647 52224 190787 29696
1.203669858 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 55296
1.207365477 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 60928
1.215068809 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 67072
1.223030195 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 72704
1.230709204 10.0.0.4:5001 10.0.0.2:43302 1480 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 78336
1.234227859 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 81408
1.241937180 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 87040
1.250342729 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 92672
1.257304318 10.0.0.4:5001 10.0.0.2:43302 2928 0xf0898c6a 0xf0898c6a 10 2147483647 29696 168000 98816
1.264991191 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 55296
1.272703412 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 60928
1.280519356 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 67072
1.284752935 10.0.0.2:43302 10.0.0.4:5001 32 0x80fdf878 0x80fd8758 20 2147483647 55296 180325 29696
1.288250936 10.0.0.3:5001 10.0.0.1:43592 2928 0x21594624 0x21594624 10 2147483647 29696 192000 72704
1.288429335 10.0.0.2:43302 10.0.0.4:5001 32 0x80fe0f18 0x80fd92a8 22 2147483647 60928 178060 29696
1.296040903 10.0.0.3:5001 10.0.0.1:43592 1480 0x21594624 0x21594624 10 2147483647 29696 192000 78336
