1.102510870 10.0.0.4:5001 10.0.0.2:43262 32 0x34211212 0x34211212 10 2147483647 29696 332000 28960
1.108819633 10.0.0.3:5001 10.0.0.1:43552 32 0xd61729df 0xd61729df 10 2147483647 29696 336000 28960
1.435531792 10.0.0.4:5001 10.0.0.2:43266 56 0xf378028a 0xf378028a 10 2147483647 29696 324000 28960
1.435541591 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 29184
1.439405379 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 34816
1.447404617 10.0.0.3:5001 10.0.0.1:43556 56 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 28960
1.447691306 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 29184
1.455180435 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 40960
1.462879723 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 34816
1.470570220 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 46592
1.478586566 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 40960
1.486351094 10.0.0.4:5001 10.0.0.2:43266 1480 0xf378028a 0xf378028a 10 2147483647 29696 324000 52224
1.490304043 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 46592
1.497635150 10.0.0.3:5001 10.0.0.1:43556 1480 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 52224
1.598422891 10.0.0.2:43266 10.0.0.4:5001 32 0x78527dd3 0x78524ad3 10 2147483647 28960 336500 29696
1.598455713 10.0.0.2:43266 10.0.0.4:5001 32 0x78528923 0x78524aeb 11 2147483647 29184 335102 29696
1.601484388 10.0.0.2:43266 10.0.0.4:5001 32 0x78529fc3 0x7852563b 13 2147483647 34816 333872 29696
1.610467575 10.0.0.1:43556 10.0.0.3:5001 32 0xcb953b3e 0xcb95083e 10 2147483647 28960 333421 29696
1.610497917 10.0.0.1:43556 10.0.0.3:5001 32 0xcb95468e 0xcb950856 11 2147483647 29184 333607 29696
1.617704472 10.0.0.2:43266 10.0.0.4:5001 32 0x7852b0bb 0x7852618b 15 2147483647 40960 333174 29696
1.625006280 10.0.0.1:43556 10.0.0.3:5001 32 0xcb955d2e 0xcb9513a6 13 2147483647 34816 333771 29696
1.632626595 10.0.0.2:43266 10.0.0.4:5001 32 0x7852c75b 0x78526cdb 17 2147483647 46592 334591 29696
1.641563304 10.0.0.1:43556 10.0.0.3:5001 32 0xcb956e26 0xcb951ef6 15 2147483647 40960 335727 29696
1.649319537 10.0.0.2:43266 10.0.0.4:5001 32 0x7852ddfb 0x7852782b 19 2147483647 52224 337517 29696
1.652355522 10.0.0.1:43556 10.0.0.3:5001 32 0xcb9584c6 0xcb952a46 17 2147483647 46592 339507 29696
1.660075619 10.0.0.1:43556 10.0.0.3:5001 32 0xcb959b66 0xcb953596 19 2147483647 52224 344040 29696
1.760591025 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 55296
1.764244296 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 60928
1.772360944 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 67072
1.779757822 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 72704
1.787938635 10.0.0.4:5001 10.0.0.2:43266 1480 0xf378028a 0xf378028a 10 2147483647 29696 324000 78336
1.791143110 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 55296
1.798833604 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 60928
1.806530021 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 67072
1.814312267 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 81408
1.822132260 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 87040
1.829968605 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 72704
1.837751875 10.0.0.3:5001 10.0.0.1:43556 1480 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 78336
1.841636765 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 92672
1.849423120 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 98816
1.857321565 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 81408
1.864775649 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 87040
1.871915465 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 104448
1.879696654 10.0.0.4:5001 10.0.0.2:43266 1480 0xf378028a 0xf378028a 10 2147483647 29696 324000 110080
1.883587511 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 92672
