0.735839687 10.0.0.4:5001 10.0.0.2:40430 32 0x6141dfad 0x6141dfad 10 2147483647 29696 176000 28960
0.741559876 10.0.0.3:5001 10.0.0.1:40716 32 0x62b524e6 0x62b524e6 10 2147483647 29696 184000 28960
0.908041692 10.0.0.3:5001 10.0.0.1:40720 56 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 28960
0.908056787 10.0.0.3:5001 10.0.0.1:40720 1480 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 29184
0.908408449 10.0.0.3:5001 10.0.0.1:40720 1480 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 32256
0.912008617 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 34816
0.920083382 10.0.0.4:5001 10.0.0.2:40434 56 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 28960
0.920465340 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 29184
0.928271664 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 34816
0.935475540 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 40960
0.943179461 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 40960
0.950857509 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 46592
0.958560474 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 46592
0.966251815 10.0.0.3:5001 10.0.0.1:40720 1480 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 52224
0.970232193 10.0.0.4:5001 10.0.0.2:40434 1480 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 52224
0.989583080 10.0.0.1:40720 10.0.0.3:5001 32 0xd66bfd7 0xd668cd7 10 2147483647 28960 168109 29696
0.989624142 10.0.0.1:40720 10.0.0.3:5001 32 0xd66cb27 0xd668cef 11 2147483647 29184 167461 29696
0.989946831 10.0.0.1:40720 10.0.0.3:5001 32 0xd66d677 0xd669297 12 2147483647 32256 166896 29696
