1.106373520 10.0.0.3:5001 10.0.0.1:46418 32 0x2e9e7adb 0x2e9e7adb 10 2147483647 29696 336000 28960
1.110915477 10.0.0.4:5001 10.0.0.2:46132 32 0x2191453b 0x2191453b 10 2147483647 29696 340000 28960
1.437006670 10.0.0.3:5001 10.0.0.1:46422 56 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 28960
1.437024057 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 29184
1.441124684 10.0.0.4:5001 10.0.0.2:46136 56 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 28960
1.441407593 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 34816
1.448964408 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 29184
1.457534575 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 34816
1.464367047 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 40960
1.473119018 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 40960
1.479736705 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 46592
1.487468449 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 46592
1.495111860 10.0.0.3:5001 10.0.0.1:46422 1480 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 52224
1.500681826 10.0.0.4:5001 10.0.0.2:46136 1480 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 52224
1.599606320 10.0.0.1:46422 10.0.0.3:5001 32 0x4eff6fd 0x4efc3fd 10 2147483647 28960 339571 29696
1.599641392 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0024d 0x4efc415 11 2147483647 29184 337745 29696
1.603499299 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c7d468 0xb9c7a168 10 2147483647 28960 331673 29696
1.603850260 10.0.0.1:46422 10.0.0.3:5001 32 0x4f018ed 0x4efcf65 13 2147483647 34816 336147 29696
1.611108652 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c7dfb8 0xb9c7a180 11 2147483647 29184 331167 29696
1.619604547 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c7f658 0xb9c7acd0 13 2147483647 34816 331644 29696
1.626419638 10.0.0.1:46422 10.0.0.3:5001 32 0x4f029e5 0x4efdab5 15 2147483647 40960 335274 29696
1.636120743 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c80750 0xb9c7b820 15 2147483647 40960 333124 29696
1.641943552 10.0.0.1:46422 10.0.0.3:5001 32 0x4f04085 0x4efe605 17 2147483647 46592 337331 29696
1.649726276 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c81df0 0xb9c7c370 17 2147483647 46592 336482 29696
1.657946025 10.0.0.1:46422 10.0.0.3:5001 32 0x4f05725 0x4eff155 19 2147483647 52224 340916 29696
1.662733639 10.0.0.2:46136 10.0.0.4:5001 32 0xb9c83490 0xb9c7cec0 19 2147483647 52224 340984 29696
1.761696556 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 55296
1.765390115 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 60928
1.773693535 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 67072
1.780984158 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 55296
1.788784788 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 72704
1.796149606 10.0.0.3:5001 10.0.0.1:46422 1480 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 78336
1.800568579 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 60928
1.808243606 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 67072
1.816088545 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 72704
1.823865441 10.0.0.4:5001 10.0.0.2:46136 1480 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 78336
1.826894561 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 81408
1.835213374 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 87040
1.843040195 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 81408
1.850829964 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 87040
1.858052884 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 92672
1.865927083 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 98816
1.872989736 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 92672
1.881506904 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 98816
1.889338860 10.0.0.3:5001 10.0.0.1:46422 2928 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 104448
1.897066394 10.0.0.3:5001 10.0.0.1:46422 1480 0x8070f34f 0x8070f34f 10 2147483647 29696 332000 110080
1.900036516 10.0.0.4:5001 10.0.0.2:46136 2928 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 104448
1.907812114 10.0.0.4:5001 10.0.0.2:46136 1480 0x590e0f09 0x590e0f09 10 2147483647 29696 328000 110080
1.924410392 10.0.0.1:46422 10.0.0.3:5001 32 0x4f0681d 0x4eff6fd 20 2147483647 55296 345834 29696
