0.698959574 10.0.0.3:5001 10.0.0.1:46392 32 0x4972fdc 0x4972fdc 10 2147483647 29696 172000 28960
0.703748295 10.0.0.4:5001 10.0.0.2:46106 32 0xcde9b716 0xcde9b716 10 2147483647 29696 176000 28960
0.868447828 10.0.0.3:5001 10.0.0.1:46396 56 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 28960
0.868463688 10.0.0.3:5001 10.0.0.1:46396 1480 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 29184
0.868860758 10.0.0.3:5001 10.0.0.1:46396 1480 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 32256
0.872490566 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 34816
0.880083606 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 40960
0.888308183 10.0.0.4:5001 10.0.0.2:46110 56 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 28960
0.888321004 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 29184
0.896580714 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 46592
0.903560499 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 34816
0.911248481 10.0.0.3:5001 10.0.0.1:46396 1480 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 52224
0.915119032 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 40960
0.923550582 10.0.0.4:5001 10.0.0.2:46110 2928 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 46592
0.931234678 10.0.0.4:5001 10.0.0.2:46110 1480 0x4c1514ad 0x4c1514ad 10 2147483647 29696 180000 52224
0.950449055 10.0.0.1:46396 10.0.0.3:5001 32 0x6324384e 0x6324054e 10 2147483647 28960 174557 29696
0.950484853 10.0.0.1:46396 10.0.0.3:5001 32 0x6324439e 0x63240566 11 2147483647 29184 173156 29696
0.950514835 10.0.0.1:46396 10.0.0.3:5001 32 0x63244eee 0x63240b0e 12 2147483647 32256 171931 29696
0.953549641 10.0.0.1:46396 10.0.0.3:5001 32 0x63245a3e 0x632410b6 13 2147483647 34816 170863 29696
0.961150063 10.0.0.1:46396 10.0.0.3:5001 32 0x63246b36 0x63241c06 15 2147483647 40960 170308 29696
0.969933861 10.0.0.2:46110 10.0.0.4:5001 32 0x6d4347f0 0x6d4314f0 10 2147483647 28960 172713 29696
0.969968118 10.0.0.2:46110 10.0.0.4:5001 32 0x6d435340 0x6d431508 11 2147483647 29184 173434 29696
0.978113933 10.0.0.1:46396 10.0.0.3:5001 32 0x632481d6 0x63242756 17 2147483647 46592 170771 29696
0.984626506 10.0.0.2:46110 10.0.0.4:5001 32 0x6d4369e0 0x6d432058 13 2147483647 34816 174066 29696
0.992330868 10.0.0.1:46396 10.0.0.3:5001 32 0x63249876 0x632432a6 19 2147483647 52224 173172 29696
0.996186823 10.0.0.2:46110 10.0.0.4:5001 32 0x6d437ad8 0x6d432ba8 15 2147483647 40960 176451 29696
1.004634929 10.0.0.2:46110 10.0.0.4:5001 32 0x6d439178 0x6d4336f8 17 2147483647 46592 179983 29696
1.012288807 10.0.0.2:46110 10.0.0.4:5001 32 0x6d43a818 0x6d434248 19 2147483647 52224 184005 29696
1.031534600 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 55296
1.035204709 10.0.0.3:5001 10.0.0.1:46396 2928 0xaa3dac59 0xaa3dac59 10 2147483647 29696 164000 60928
